tokens,hidden_size,dtype,bytes,median_ms,min_ms
196,4096,bfloat16,1605632,0.06968900561332703,0.061884522438049316
1024,4096,bfloat16,8388608,0.22555142641067505,0.22333115339279175
4096,4096,bfloat16,33554432,0.8174031972885132,0.8082948625087738
9216,4096,bfloat16,75497472,1.801609992980957,1.7830394208431244
