mode,repeat,tool_window_kv_usage_seconds,resume_ttft_mean_ms,peak_kv_usage,released_block_references,predicted_ttl_ms
baseline,1,0.036174009750,57.086987420917,0.020029311187,0,
baseline,2,0.036165296682,57.405781000853,0.020029311187,0,
baseline,3,0.036162591712,58.188464492559,0.020029311187,0,
fixed_500ms,1,0.008804859953,58.347353711724,0.020029311187,37,
fixed_500ms,2,0.009105559066,57.046178728342,0.020029311187,37,
fixed_500ms,3,0.008877806975,58.084264397621,0.020029311187,37,
predicted,1,0.001945303844,57.823533192277,0.020029311187,37,100
predicted,2,0.001510431115,56.074380874634,0.020029311187,37,100
predicted,3,0.001982454656,57.077145203948,0.020029311187,37,100
