mode,model_name,dataset,prefix_tokens,branches,variant,attention_backend,offload,dp_replicas,tp_size,agentrix_git_commit,agentrix_git_dirty,vllm_git_commit,vllm_git_dirty,num_gpu_blocks_override,use_flashinfer_sampler,prefix_aware_policy,fanout_admission_window,offload_cpu_gib,max_dataset_records,full_dataset,dataset_records,batches,requests,common_requests,branch_requests,input_tokens,output_tokens,common_input_tokens,common_output_tokens,branch_input_tokens,branch_output_tokens,request_throughput_per_s,input_throughput_tokens_per_s,output_throughput_tokens_per_s,total_throughput_tokens_per_s,branch_output_throughput_tokens_per_s,latency_ms_mean,latency_ms_p50,latency_ms_p95,latency_ms_p99,ttft_ms_mean,ttft_ms_p50,ttft_ms_p95,ttft_ms_p99,tpot_ms_mean,tpot_ms_p50,tpot_ms_p95,tpot_ms_p99,branch_latency_ms_mean,branch_latency_ms_p50,branch_latency_ms_p95,branch_latency_ms_p99,branch_ttft_ms_mean,branch_ttft_ms_p50,branch_ttft_ms_p95,branch_ttft_ms_p99,branch_tpot_ms_mean,branch_tpot_ms_p50,branch_tpot_ms_p95,branch_tpot_ms_p99,logical_kv_read_tokens,logical_kv_read_saved_tokens,logical_kv_read_reduction_percent,gpu_kv_cache_capacity_gib,peak_gpu_kv_cache_usage_percent,estimated_peak_gpu_kv_gib,cpu_kv_cache_capacity_gib,peak_cpu_kv_cache_occupancy_percent,estimated_peak_cpu_kv_gib,estimated_peak_total_kv_gib,mean_gpu_compute_utilization_percent,mean_gpu_memory_bandwidth_utilization_percent,kv_offload_load_gib,kv_offload_load_operations,kv_offload_load_average_mib,kv_offload_store_gib,kv_offload_store_operations,kv_offload_store_average_mib,output_exact_match_percent,output_token_f1_percent,output_text_similarity_percent,repeat_exact_match_percent,repeat_token_f1_percent,repeat_text_similarity_percent,dp_routed_requests,dp_affinity_routes,dp_affinity_route_percent,dp_average_route_us,dp_rank_routes,baseline_variant,output_throughput_change_percent,peak_gpu_kv_reduction_vs_baseline_percent,peak_total_kv_reduction_vs_baseline_percent,kv_offload_load_reduction_vs_baseline_percent
dp,qwen3-8b,agencybench,8192,8,flash_dp,FLASH_ATTN,none,2,1,26f63d93787f3de21ff70c031d1cee684428daca,False,287304ad68cea55c45c0a817ee48fa51b658399b,False,3852,False,False,0,8.0,32,False,32,8,288,32,256,2478029,18432,265565,2048,2212464,16384,6.548041106943633,56341.096375688976,419.0746308443925,56760.17100653337,372.5107829727934,2981.045403698873,3066.1770682781935,3205.3729094564915,3244.710659533739,1597.6347373022388,1857.9993080347776,2038.0411373451352,2067.0546708256006,21.958899466613246,19.411001354455948,43.8370528527432,44.989516286859434,3078.801704381476,3075.819291174412,3218.0452225729823,3245.1150126755238,1651.0631464916514,1878.2283458858728,2052.9298912733793,2067.56593324244,22.66251679190198,19.411001354455948,43.901238575696,44.99053955669441,2212442.0,0.0,0.0,16.927734375,61.217865489483245,10.362797660104517,0.0,,0.0,10.362797660104517,93.21511627906976,37.96511627906977,0.0,0,0.0,0.0,0,0.0,,,,,,,0,0,,,[],flash_dp,0.0,0.0,0.0,
dp,qwen3-8b,agencybench,8192,8,fork_dp,FORK_ATTN,none,2,1,26f63d93787f3de21ff70c031d1cee684428daca,False,287304ad68cea55c45c0a817ee48fa51b658399b,False,3852,False,False,0,8.0,32,False,32,8,288,32,256,2478021,18432,265565,2048,2212456,16384,6.096277006951517,52453.8279341771,390.1617284448971,52843.989662622,346.81042528435296,3136.3134800663424,3149.692600592971,3552.7833864092827,3571.0174514353275,1653.2732692107352,1887.2259240597486,2157.526607438922,2265.8471635356545,23.54032080723186,20.455448489104,45.89055334291761,48.482982849790936,3225.764078189968,3165.9544315189123,3555.8435432612896,3571.1681224405766,1710.2578860067297,1896.3856399059296,2168.0247159674764,2268.1055704131722,24.055653844178387,20.455448489104,45.91617097575513,48.49017665736259,160621.0,2051797.0,92.74002471504029,16.927734375,61.36068553622436,10.386973858251103,0.0,,0.0,10.386973858251103,87.36559139784946,36.06989247311828,0.0,0,0.0,0.0,0,0.0,,,,,,,0,0,,,[],flash_dp,-6.899225166944338,-0.23329798515377137,-0.23329798515377137,
dp,qwen3-8b,agencybench,8192,8,fork_prefix_aware_dp,FORK_ATTN,none,2,1,26f63d93787f3de21ff70c031d1cee684428daca,False,287304ad68cea55c45c0a817ee48fa51b658399b,False,3852,False,True,16,8.0,32,False,32,8,288,32,256,2478021,18432,265565,2048,2212456,16384,6.5223084185659665,56119.50426973352,417.42773878822186,56536.93200852175,371.04687892286387,2206.859990993204,2028.349444270134,3239.3232053145766,3915.2039743959904,797.1203603471319,660.6378816068172,2078.4137792885303,2323.8606777787204,22.376819534064637,22.126555176717893,28.830121283138546,35.59469801625089,2125.69037512003,1993.2154174894094,3213.6326553300023,3266.57529566437,717.466244546813,639.6581549197435,2024.9556098133326,2158.40154197067,22.352763977352648,22.092259503782742,28.340831088523068,30.10113350751381,160629.0,2051797.0,92.7396893726615,16.927734375,46.624253440664766,7.89242977676253,0.0,,0.0,7.89242977676253,71.7183908045977,34.32183908045977,0.0,0,0.0,0.0,0,0.0,,,,,,,288,251,87.15277777777777,1161.8,"[149, 139]",flash_dp,-0.3929829999139623,23.838812301166477,23.838812301166477,
dp,qwen3-8b,agencybench,8192,16,flash_dp,FLASH_ATTN,none,2,1,26f63d93787f3de21ff70c031d1cee684428daca,False,287304ad68cea55c45c0a817ee48fa51b658399b,False,3852,False,False,0,8.0,32,False,32,8,544,32,512,4691298,34816,265565,2048,4425733,32768,10.326608862286538,89053.67555593218,660.9029671863384,89714.57852311851,622.0263220577302,3944.6138236740167,4017.172621563077,4348.17080963403,4373.4628830477595,2055.842494146953,2263.998905196786,2721.756520308554,2812.3225219920278,29.980497294080372,27.079792781954723,54.40771167299577,55.48750068933245,4052.2660367714707,4027.3099038749933,4349.703297764063,4374.361223988235,2109.5294405604363,2292.6805671304464,2724.5725374668837,2812.3603983595967,30.837088828746577,27.43683084254227,54.4639269363076,55.520255844744426,4425731.0,0.0,0.0,16.927734375,66.00882887561671,11.173799216112698,0.0,,0.0,11.173799216112698,92.64903846153847,34.29807692307692,0.0,0,0.0,0.0,0,0.0,,,,,,,0,0,,,[],flash_dp,0.0,0.0,0.0,
dp,qwen3-8b,agencybench,8192,16,fork_dp,FORK_ATTN,none,2,1,26f63d93787f3de21ff70c031d1cee684428daca,False,287304ad68cea55c45c0a817ee48fa51b658399b,False,3852,False,False,0,8.0,32,False,32,8,544,32,512,4691282,34816,265565,2048,4425717,32768,10.328480993154788,89069.51648994334,661.0227835619064,89730.53927350526,622.1390904112061,3710.2065767942217,3919.4999374449253,4073.1371868401766,4127.711900323631,1963.499626103679,2177.7636744081974,2415.3211805969477,2553.49860660732,27.725507153818135,26.849966880584518,41.842190052072205,53.48780123842141,3788.671121139487,3930.466052144766,4075.0575352460146,4143.025716394186,2009.584248327883,2192.6289554685354,2416.7502438649535,2567.3810028284784,28.23947417161276,26.98379805281995,41.856135445691294,53.52639420519745,255900.0,4169781.0,94.21783901731733,16.927734375,67.04752012464294,11.349626111724227,0.0,,0.0,11.349626111724227,80.79326923076923,32.37980769230769,0.0,0,0.0,0.0,0,0.0,,,,,,,0,0,,,[],flash_dp,0.018129193167054646,-1.573564122737995,-1.573564122737995,
dp,qwen3-8b,agencybench,8192,16,fork_prefix_aware_dp,FORK_ATTN,none,2,1,26f63d93787f3de21ff70c031d1cee684428daca,False,287304ad68cea55c45c0a817ee48fa51b658399b,False,3852,False,True,16,8.0,32,False,32,8,544,32,512,4691282,34816,265565,2048,4425717,32768,12.253386460524776,105669.2855538669,784.2167334735857,106453.50228734048,738.0863373869042,2721.5132962720577,2751.184567809105,2897.407891228795,2937.1577745303516,967.6761544816305,952.7508337050676,1501.069994084537,1561.0850018635394,27.838684790324244,28.351599646229594,33.608415858849646,34.11042078087728,2740.5390609783353,2759.551141411066,2901.3238206505775,2939.588469825685,953.0693537963089,947.061825543642,1474.0858072414994,1562.7828628197312,28.37253503463534,28.629281661576695,33.61076958004444,34.14212044210188,255884.0,4169781.0,94.21817964079975,16.927734375,38.47052713580888,6.512188646212022,0.0,,0.0,6.512188646212022,76.27586206896552,35.94252873563219,0.0,0,0.0,0.0,0,0.0,,,,,,,544,512,94.11764705882354,964.5,"[272, 272]",flash_dp,18.65837685859255,41.71911880409128,41.71911880409128,
dp,qwen3-8b,agencybench,8192,32,flash_dp,FLASH_ATTN,none,2,1,26f63d93787f3de21ff70c031d1cee684428daca,False,287304ad68cea55c45c0a817ee48fa51b658399b,False,3852,False,False,0,8.0,32,False,32,8,1056,32,1024,9118432,67584,265565,2048,8852867,65536,15.459970319826931,133494.9697759092,989.4381004689236,134484.40787637813,959.4551277274411,5750.698924487965,5966.437578201294,6155.795989558101,6200.069449469447,2511.8289257992396,2637.0679158717394,3293.870738707483,3462.7356719225654,51.410634899821034,51.93440879266414,63.6883152146188,75.69864822167253,5860.8875111203815,5969.859696924686,6157.220089435577,6201.009941622615,2552.908599129296,2660.521000623703,3295.33563721925,3466.723768636584,52.50760177763628,52.32884598866342,63.73436841818075,75.70003267673273,8853001.0,0.0,0.0,16.927734375,79.00545312905739,13.37383324745196,0.0,,0.0,13.37383324745196,91.31851851851852,28.618518518518517,0.0,0,0.0,0.0,0,0.0,,,,,,,0,0,,,[],flash_dp,0.0,0.0,0.0,
dp,qwen3-8b,agencybench,8192,32,fork_dp,FORK_ATTN,none,2,1,26f63d93787f3de21ff70c031d1cee684428daca,False,287304ad68cea55c45c0a817ee48fa51b658399b,False,3852,False,False,0,8.0,32,False,32,8,1056,32,1024,9118400,67584,265565,2048,8852835,65536,15.57576076654744,134494.33425538463,996.8486890590361,135491.1829444437,966.6411530269442,5327.56249173756,5352.88256034255,6393.960582092404,6741.915771737698,2448.59512818441,2523.1387186795473,3552.280399017036,4913.402874581516,45.697894659573805,42.887795273037185,76.92638054371825,85.39427154593999,5418.517321981199,5358.253011479974,6431.534169986845,6762.8782842308265,2487.720869041368,2533.751953393221,3558.987566642463,4916.0474456474185,46.52057861809255,43.095296840109526,77.49974556740315,85.45533243625883,447214.0,8405749.0,94.94842574175448,16.927734375,78.23941833290054,13.244160911938456,0.0,,0.0,13.244160911938456,80.1231343283582,30.104477611940297,0.0,0,0.0,0.0,0,0.0,,,,,,,0,0,,,[],flash_dp,0.7489693985505945,0.9695973705834118,0.9695973705834118,
dp,qwen3-8b,agencybench,8192,32,fork_prefix_aware_dp,FORK_ATTN,none,2,1,26f63d93787f3de21ff70c031d1cee684428daca,False,287304ad68cea55c45c0a817ee48fa51b658399b,False,3852,False,True,16,8.0,32,False,32,8,1056,32,1024,9118400,67584,265565,2048,8852835,65536,16.151102330722527,139462.32148907223,1033.6705491662417,140495.99203823847,1002.347199191507,4873.732779693621,4597.263814881444,6618.133443407714,6947.736650146544,1809.0695137419088,1632.589304819703,3408.0464048311114,4663.517582416534,48.64544866590018,48.57005238059968,81.01891015198022,84.59028708970264,4948.670251964359,4604.854045435786,6620.710338465869,6947.788211740553,1826.833947969135,1651.7588701099157,3414.4125623628497,4667.475574016571,49.55295720627339,49.06435721805171,81.204415378826,84.63166495578156,447182.0,8405749.0,94.94876894443208,16.927734375,76.49961049078162,12.949650861789145,0.0,,0.0,12.949650861789145,77.16666666666667,29.1937984496124,0.0,0,0.0,0.0,0,0.0,,,,,,,1056,1013,95.9280303030303,995.6,"[535, 521]",flash_dp,4.470461434257993,3.171733771569438,3.171733771569438,
dp,qwen3-8b,agencybench,16384,8,flash_dp,FLASH_ATTN,none,2,1,26f63d93787f3de21ff70c031d1cee684428daca,False,287304ad68cea55c45c0a817ee48fa51b658399b,False,3852,False,False,0,8.0,32,False,32,8,288,32,256,4865641,18432,530865,2048,4334776,16384,3.5709469770324818,60329.673681511464,228.54060653007883,60558.21428804154,203.14720580451453,4583.028655007689,4185.650404542685,6836.683171801269,6894.792383387685,2780.517875139291,2434.1122154146433,5686.359307728708,5764.63071923703,28.611282220133294,24.90094942705972,54.54127293316618,56.75144330849724,4624.081088855746,4091.5189292281866,6841.26066043973,6899.372215941548,2791.6510374925565,2434.1122154146433,5693.641967140138,5782.083415798843,29.086191291479203,24.90094942705972,54.97954849390283,56.8300456754745,4335197.0,0.0,0.0,16.927734375,86.6138665281745,14.661765257806415,0.0,,0.0,14.661765257806415,92.034375,33.590625,0.0,0,0.0,0.0,0,0.0,,,,,,,0,0,,,[],flash_dp,0.0,0.0,0.0,
