arm,wall_s,cases,branches,events,prompt_compaction,prompt_tokens,completion_tokens,response_chars,compaction_saved_chars,kv_auc_usage_s,time_avg_kv_usage,peak_kv_usage,peak_gpu_mib,max_running,max_waiting,cached_prompt_tokens,computed_prompt_tokens,fork_observed_steps,fork_active_steps,fork_shared_ctas,fork_singleton_ctas,total_tokens,total_tokens_per_s,planner_count,planner_mean_latency_ms,planner_p95_latency_ms,planner_prompt_tokens,planner_completion_tokens,tool_select_count,tool_select_mean_latency_ms,tool_select_p95_latency_ms,tool_select_prompt_tokens,tool_select_completion_tokens,branch_reflect_count,branch_reflect_mean_latency_ms,branch_reflect_p95_latency_ms,branch_reflect_prompt_tokens,branch_reflect_completion_tokens,reduce_count,reduce_mean_latency_ms,reduce_p95_latency_ms,reduce_prompt_tokens,reduce_completion_tokens
baseline,1344.8128316961229,100,1600,5100,False,44132611,302847,779933,0,730.1782561929385,0.5429590192651667,1.0,89735.0,128.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,44435458,33042.11333554612,100,25496.22643239796,41059.26263332367,1138528,12796,1600,16648.69433643995,35040.96082225442,18833558,78718,1600,32648.033080569003,60098.97491335869,22730604,205711,100,11104.712992534041,22183.98055434227,1429921,5622
forkattention,867.9264461323619,100,1600,5100,True,40117608,268562,695216,15148979,242.61406779995298,0.27953298217963674,0.46984935658131666,90129.0,128.0,84.0,36003552.0,4114056.0,5638.0,4509.0,285706.0,504098.0,40386170,46531.78870164415,100,19433.709819167852,23505.14892861247,1138528,12800,1600,10682.066265835892,18918.580431491137,18833694,79133,1600,17314.719443460926,32178.40587347746,18755179,170882,100,9173.658129535615,15985.600281506777,1390207,5747
