arm,model,cases,case_concurrency,branches_per_case,total_branches,request_concurrency,max_num_seqs,attention_backend,prompt_compaction,ttl_mode,offload_cpu_gib,wall_s,prompt_tokens,completion_tokens,total_tokens,total_tokens_per_s,response_chars,kv_auc_usage_s,kv_time_average,kv_peak,gpu_peak_mib,max_running,max_waiting,compaction_saved_chars,fork_observed_steps,fork_active_steps,fork_shared_ctas,fork_singleton_ctas,branch_reflect_completion_tokens,branch_reflect_count,branch_reflect_mean_latency_ms,branch_reflect_prompt_tokens,branch_reflect_response_chars,planner_completion_tokens,planner_count,planner_mean_latency_ms,planner_prompt_tokens,planner_response_chars,reduce_completion_tokens,reduce_count,reduce_mean_latency_ms,reduce_prompt_tokens,reduce_response_chars,tool_select_completion_tokens,tool_select_count,tool_select_mean_latency_ms,tool_select_prompt_tokens,tool_select_response_chars
baseline,Qwen3-14B,100,4,16,1600,64,80,FLASH_ATTN,False,disabled,0,1395.1657412908971,44081743,302398,44384141,31812.808820071037,780793,377.91399637513746,0.27087390780214193,0.7468927049936317,89371.0,64.0,31.0,0,0,0.0,0.0,0.0,204637,1600,17255.40967177134,22680821,648151,12800,100,11107.383548729122,1138528,56958,5656,100,6876.429948918521,1428700,17671,79305,1600,9938.35121956421,18833694,58013
forkattention,Qwen3-14B,100,4,16,1600,64,80,FORK_ATTN,True,disabled,0,960.2650811709464,40117888,268304,40386192,42057.336866558886,695521,131.10753084997125,0.1365326443924201,0.24186393781018056,89693.0,64.0,31.0,15137150,11122,9839.0,326528.0,687945.0,170551,1600,9202.040812701453,18755566,561253,12800,100,10798.573259785771,1138528,56984,6015,100,5837.719609178603,1390100,19090,78938,1600,5931.818441452924,18833694,58194
