probability,repeats,requests_per_repeat,errors,actual_visual_probability_mean,actual_visual_probability_std,wall_seconds_mean,wall_seconds_std,latency_mean_ms_mean,latency_mean_ms_std,latency_p95_ms_mean,latency_p95_ms_std,visual_latency_mean_ms_mean,visual_latency_mean_ms_std,text_latency_mean_ms_mean,text_latency_mean_ms_std,encoder_path_mean_ms_mean,encoder_path_mean_ms_std,gpu_util_correlation_mean,gpu_util_correlation_std,e_idle_pd_busy_ratio_mean,e_idle_pd_busy_ratio_std,e_busy_ratio_mean,e_busy_ratio_std,gpu0_util_mean_mean,gpu0_util_mean_std,gpu0_util_peak_mean,gpu0_util_peak_std,gpu0_memory_util_mean_mean,gpu0_memory_util_mean_std,gpu0_memory_util_peak_mean,gpu0_memory_util_peak_std,gpu0_memory_used_mib_mean_mean,gpu0_memory_used_mib_mean_std,gpu0_memory_used_mib_peak_mean,gpu0_memory_used_mib_peak_std,gpu0_power_watts_mean_mean,gpu0_power_watts_mean_std,gpu0_power_watts_peak_mean,gpu0_power_watts_peak_std,gpu1_util_mean_mean,gpu1_util_mean_std,gpu1_util_peak_mean,gpu1_util_peak_std,gpu1_memory_util_mean_mean,gpu1_memory_util_mean_std,gpu1_memory_util_peak_mean,gpu1_memory_util_peak_std,gpu1_memory_used_mib_mean_mean,gpu1_memory_used_mib_mean_std,gpu1_memory_used_mib_peak_mean,gpu1_memory_used_mib_peak_std,gpu1_power_watts_mean_mean,gpu1_power_watts_mean_std,gpu1_power_watts_peak_mean,gpu1_power_watts_peak_std,encoder_running_mean_mean,encoder_running_mean_std,encoder_running_peak_mean,encoder_running_peak_std,encoder_waiting_mean_mean,encoder_waiting_mean_std,encoder_waiting_peak_mean,encoder_waiting_peak_std,encoder_kv_cache_usage_mean_mean,encoder_kv_cache_usage_mean_std,encoder_kv_cache_usage_peak_mean,encoder_kv_cache_usage_peak_std,pd_running_mean_mean,pd_running_mean_std,pd_running_peak_mean,pd_running_peak_std,pd_waiting_mean_mean,pd_waiting_mean_std,pd_waiting_peak_mean,pd_waiting_peak_std,pd_kv_cache_usage_mean_mean,pd_kv_cache_usage_mean_std,pd_kv_cache_usage_peak_mean,pd_kv_cache_usage_peak_std
0.05,2,640,0,0.065625,0.0,75.4421599155,0.15510574699335203,2568.8893556421876,7.636191745416911,2920.896387,15.178372327288514,2713.513822988095,4.402158404280109,2558.7317843570236,7.863331210847873,105.08333333333334,21.364726317279253,0.17785122513720847,0.017958055018834563,0.4660857071464268,0.0012279840402914946,0.05992628685657171,0.01363150628899104,2.4247501249375314,0.4015596155928702,86.5,6.363961030678928,0.17831709145427288,0.03476343308307178,7.5,0.7071067811865476,19176.0,0.0,19176.0,0.0,126.38487806096951,1.1268907400674528,178.875,15.436141033302322,62.98893053473263,0.8621331404601803,100.0,0.0,10.9635932033983,0.12732162581784778,32.0,0.0,120004.0,209.30360723121808,120004.0,209.30360723121808,259.5214239755122,0.40154945601269293,322.45500000000004,1.2657211383239346,0.0014492753623188406,0.0020495848730044857,0.5,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.07872313843078,0.2616931168454268,32.0,0.0,0.40362943528235884,0.13425664359934986,8.0,0.0,0.0058792311885653425,5.307095121336678e-05,0.013520504949470546,0.0
0.10,2,640,0,0.1234375,0.0,79.8733606065,1.5248558240251628,2792.809349985156,76.43850785886008,3192.2225135,153.2167395116776,2919.8440557025315,85.9352544947118,2774.920327254902,75.10117633616439,142.31645569620252,93.69612386659213,0.19874776524845356,0.11280744811028846,0.4766635850975317,0.05575141808290273,0.0894906166219839,0.04314678375283062,3.998225016178238,2.4505626486464656,87.0,11.313708498984761,0.2989525746510123,0.1858167060917083,8.0,1.4142135623730951,19176.0,0.0,19176.0,0.0,128.27985172413793,3.033278397555176,184.01,24.3103311371935,65.60761394101877,1.764392555994491,100.0,0.0,10.885662383285569,0.08018147690374379,31.0,0.0,119872.41247295923,30.658283066399488,120003.0,210.71782079359116,263.4574428677082,3.077028467529864,322.69500000000005,0.4879036790187162,0.011034482758620689,0.015605115171013461,1.5,2.1213203435596424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.36166589627438,0.2013211515351598,32.0,0.0,0.6415910141444023,0.2168203673823763,9.5,2.1213203435596424,0.006463829467675285,0.00018304850577715676,0.01394733211464838,0.00017681937583564845
0.25,2,640,0,0.26875,0.0,89.5740924095,0.9027449127681288,3275.6167990015624,45.303701964390896,3743.4418735,130.67235240616844,3349.737247994186,45.44273232157735,3248.3759502264957,45.25260533739025,276.37790697674416,22.726083060460684,0.2561783255786581,0.015468550741548206,0.46804013264934163,0.014229897660995151,0.1472975215673723,0.01389879923960684,8.94023148436273,1.1318358545801603,100.0,0.0,0.7511054111803599,0.09360760084939584,9.0,0.0,19176.0,0.0,19176.0,0.0,141.5013090972673,2.744771881420605,249.575,14.941166286471747,69.75263683538265,0.5906879659952378,100.0,0.0,10.729155738506538,0.004070624579410663,32.0,0.0,120004.0,209.30360723121808,120004.0,209.30360723121808,272.1306622909573,1.2329905191333557,323.235,2.9486352775479143,0.08643026277964977,0.006960401307855879,4.5,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.48133099804108,0.24489967160737058,32.0,0.0,0.4935623875696068,0.10889051722398353,7.5,3.5355339059327378,0.007960221898694022,0.0001393924445115179,0.017383506363604972,0.0
0.50,2,640,0,0.4703125,0.0,103.4578727815,0.0659156024805646,3969.9070651656248,2.4039748440962625,4708.190356499999,20.429069391414576,4057.865754634551,1.5845754883150813,3891.80805180236,3.131524124598201,510.531561461794,15.452984739684773,0.24418478566539858,0.004647324796667616,0.4841212241420502,0.014917528347178523,0.17832462573871805,0.006435574729263553,13.562042175110555,0.019894819055323226,100.0,0.0,1.233070903411063,0.018664441717287067,10.0,0.0,19176.0,0.0,19176.0,0.0,152.18661902658258,1.8402888995269175,341.78999999999996,4.384062043356587,72.70311309655287,0.4711229577559867,100.0,0.0,10.413686625765765,0.10861108138926577,33.0,0.0,120003.93868921776,209.39031377098553,120004.0,209.30360723121808,278.8325064912526,0.43703256453790945,324.725,0.7141778489984065,0.372699324278637,0.029261305604080943,11.0,2.8284271247461903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.39485297763673,0.017145595081084673,32.0,0.0,0.8573705017648093,0.22733930700373225,9.0,2.8284271247461903,0.00975393518369816,8.616713453891841e-05,0.02216914427620459,0.00017072215597919535
1.00,2,640,1,1.0,0.0,144.059908209,0.32284723760805684,5906.494564221875,11.611999408663298,6884.2607355,171.7020296372602,5906.494564221875,11.611999408663298,,0,1107.995154782864,5.93550059029755,0.030840485768828158,0.022329053190214786,0.522674315329718,0.009464737643542658,0.2792310585875051,0.008707410860979765,22.574279280691307,0.24366342730489696,100.0,0.0,2.1279827521951593,0.021343069585985044,11.0,0.0,19176.0,0.0,19176.0,0.0,172.85754318046457,0.19838998893004867,349.645,0.03535533905933542,79.93503512603228,0.6916474634169579,100.0,0.0,10.904783549105044,0.026783508163811608,34.5,0.7071067811865476,120004.0,209.30360723121808,120004.0,209.30360723121808,289.946820702242,0.9401424878235497,331.85,3.7193816690412334,1.0822509917836083,0.04296690422306691,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.414247724731723,0.18869258572179198,32.0,0.0,2.2477525957040703,0.16525732393487264,15.5,0.7071067811865476,0.013757255618564636,0.0001714439244060622,0.02777394543510503,0.00013413883684086926
