bucket,concurrency,repeat,requests,errors,visual_tokens_per_request,wall_seconds,visual_tokens_per_second,client_mean_ms,client_p50_ms,client_p95_ms,encoder_path_mean_ms,encoder_path_p95_ms,downstream_mean_ms,gpu0_util_mean,gpu0_util_peak,gpu0_memory_util_mean,gpu0_memory_util_peak,gpu0_power_watts_mean,gpu0_power_watts_peak,gpu0_memory_used_mib_mean,gpu0_memory_used_mib_peak,gpu0_samples,gpu1_util_mean,gpu1_util_peak,gpu1_memory_util_mean,gpu1_memory_util_peak,gpu1_power_watts_mean,gpu1_power_watts_peak,gpu1_memory_used_mib_mean,gpu1_memory_used_mib_peak,gpu1_samples,encoder_running_mean,encoder_running_peak,encoder_waiting_mean,encoder_waiting_peak,encoder_kv_cache_usage_mean,encoder_kv_cache_usage_peak,pd_running_mean,pd_running_peak,pd_waiting_mean,pd_waiting_peak,pd_kv_cache_usage_mean,pd_kv_cache_usage_peak
4k_class,1,1,32,0,9216,82.521599121,3573.7552730597918,2578.74119771875,2571.832212,2663.534436,1121.40625,1187.0,1454.75,26.176853055916776,100.0,1.8673602080624188,8.0,176.90803641092327,267.1,15750.0,15750.0,769.0,38.981794538361505,100.0,2.836150845253576,9.0,197.88747724317295,316.8,120124.5955786736,120150.0,769.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045513654096228866,1.0,0.0,0.0,0.00022683830638102522,0.004983961645914525
4k_class,1,2,32,0,9216,80.641580426,3657.0711838990214,2519.9820705625,2499.816469,2614.529075,1098.75,1143.0,1418.75,27.12401055408971,100.0,1.9221635883905013,8.0,180.50637203166227,265.79,20380.0,20380.0,758.0,39.031662269129285,100.0,2.8430079155672825,9.0,197.05364116094987,318.65,120150.0,120150.0,758.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044854881266490766,1.0,0.0,0.0,0.00022355500786423992,0.004983961645914525
4k_class,4,0,32,0,9216,35.755323372,8248.058531920471,4315.36934925,4088.807722,6739.326083,1478.5,3296.0,2833.9375,60.15568862275449,100.0,4.254491017964072,10.0,250.91694610778444,337.29,7987.5988023952095,8002.0,334.0,92.22455089820359,100.0,6.440119760479042,9.0,299.61745508982034,324.28,119854.0,119854.0,334.0,0.041916167664670656,2.0,0.0,0.0,0.0,0.0,1.278443113772455,2.0,0.05389221556886228,1.0,0.00549169828521485,0.008838340289035296
4k_class,4,1,32,0,9216,35.873027542,8220.995555915044,4329.9900705625005,4101.880433,6824.131941,1505.625,3342.0,2821.65625,60.781065088757394,100.0,4.35207100591716,10.0,252.22573964497042,337.91,15750.0,15750.0,338.0,90.26923076923077,100.0,6.15680473372781,9.0,296.64869822485207,325.93,120150.0,120150.0,338.0,0.04142011834319527,2.0,0.0,0.0,0.0,0.0,1.2396449704142012,2.0,0.05325443786982249,1.0,0.005347317052861381,0.008838340289035296
4k_class,4,2,32,0,9216,35.871153274,8221.425102988173,4294.51594959375,4104.50257,6803.538481,1494.96875,3313.0,2796.53125,59.87116564417178,100.0,4.2975460122699385,11.0,252.88279141104294,339.27,20380.0,20380.0,326.0,90.29447852760737,100.0,6.159509202453988,9.0,297.22610429447855,325.32,120150.0,120150.0,326.0,0.04294478527607362,2.0,0.0,0.0,0.0,0.0,1.2453987730061349,2.0,0.0,0.0,0.0053697116227970606,0.008838340289035296
low,16,0,64,0,256,3.457443501,4738.7614563365205,814.851733640625,781.983012,1260.185481,449.3125,758.0,359.5,27.842105263157894,50.0,1.631578947368421,4.0,167.98684210526315,186.71,15750.0,15750.0,19.0,55.31578947368421,90.0,5.842105263157895,10.0,216.69105263157894,258.99,119854.0,119854.0,19.0,1.263157894736842,6.0,0.0,0.0,0.0,0.0,1.7894736842105263,4.0,0.0,0.0,0.000277743992651569,0.0006208395129858602
low,16,1,64,0,256,3.059792893,5354.610776919665,710.40352390625,657.260007,1138.850079,358.96875,566.0,340.609375,30.733333333333334,79.0,2.0,7.0,170.45733333333334,192.03,15750.0,15750.0,15.0,58.666666666666664,98.0,6.6,11.0,222.914,275.25,120150.0,120150.0,15.0,1.8666666666666667,7.0,0.0,0.0,0.0,0.0,1.4,5.0,0.0,0.0,0.00021729382954505105,0.0007760493912323252
low,16,2,64,0,256,3.300455151,4964.163804812144,772.775910828125,779.685924,1182.466081,390.59375,596.0,367.90625,28.736842105263158,71.0,1.8421052631578947,6.0,167.9142105263158,188.13,20380.0,20380.0,19.0,50.68421052631579,98.0,5.315789473684211,9.0,215.07947368421054,270.99,120150.0,120150.0,19.0,1.5263157894736843,7.0,0.0,0.0,0.0,0.0,1.6842105263157894,5.0,0.0,0.0,0.0002614061107308885,0.0007760493912323252
low,1,0,32,0,256,3.95771879,2069.879249808954,123.62690003125,124.360051,132.361228,60.6875,71.0,60.6875,13.282051282051283,17.0,0.7948717948717948,1.0,141.44641025641025,144.92,15750.0,15750.0,39.0,25.53846153846154,32.0,3.871794871794872,5.0,168.61410256410258,178.68,119854.0,119854.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
low,1,1,32,0,256,3.883537766,2109.416849687976,121.31509121875,118.948615,153.393492,60.0,94.0,59.03125,13.666666666666666,17.0,0.7948717948717948,1.0,141.67205128205129,146.04,15750.0,15750.0,39.0,24.512820512820515,32.0,3.7435897435897436,5.0,168.50358974358974,179.38,120150.0,120150.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
low,1,2,32,0,256,3.859782342,2122.3994707834227,120.55894465625,118.76112,138.613002,59.5,80.0,59.03125,12.852941176470589,17.0,0.7058823529411765,1.0,141.90470588235294,147.31,20380.0,20380.0,34.0,25.264705882352942,32.0,3.764705882352941,5.0,169.605,183.46,120150.0,120150.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
low,4,0,32,0,256,2.59047034,3162.3600832272027,316.35356915625,310.656578,473.850642,167.6875,289.0,140.4375,19.764705882352942,23.0,1.0,1.0,150.68823529411765,158.32,8002.0,8002.0,17.0,31.647058823529413,77.0,4.411764705882353,11.0,186.14705882352942,214.55,119854.0,119854.0,17.0,0.11764705882352941,1.0,0.0,0.0,0.0,0.0,0.23529411764705882,1.0,0.0,0.0,3.651997135210942e-05,0.00015520987824646504
low,4,1,32,0,256,2.53421982,3232.553046641392,311.14851496875,331.634368,397.682865,156.96875,215.0,146.6875,18.928571428571427,29.0,1.0,2.0,146.2,155.8,15750.0,15750.0,14.0,34.285714285714285,69.0,4.428571428571429,7.0,174.405,217.94,120150.0,120150.0,14.0,0.14285714285714285,1.0,0.0,0.0,0.0,0.0,0.14285714285714285,1.0,0.0,0.0,2.2172839749495005e-05,0.00015520987824646504
